['Абазівка', 'Полтавська']
['Кожанка', 'Київська']
['Кожухівка', 'Київська']
['Козелець', 'Чернігівська']
['Козельщина', 'Полтавська']
['Козіївка', 'Харківська']
['Козин', 'Київська']
['Козин', 'Рівненська']
['Козлов', 'Тернопільська']
['Козова', 'Тернопільська']
['Коленківці', 'Чернівецька']
['Колки', 'Волинська']
['Колодне', 'Закарпатська']
['Коломак', 'Харківська']
['Коломацьке (Куликове)', 'Полтавська']
['Коломия', 'Івано-Франківська']
['Колочава', 'Закарпатська']
['Колонтаїв', 'Харківська']
['Кольчино', 'Закарпатська']
['Колиндяни', 'Тернопільська']
['Комар', 'Донецька']
['Комарно', 'Львівська']
['Компаніївка', 'Кіровоградська']
['Конопківка', 'Тернопільська']
['Конотоп', 'Сумська']
['Кінські Роздори', 'Запорізька']
['Костянтинівка', 'Донецька']
['Костянтинівка', 'Запорізька']
['Костянтинівка', 'Херсонська']
['Конюхи', 'Тернопільська']
['Копашново', 'Закарпатська']
['Копичинці', 'Тернопільська']
['Корделівка', 'Вінницька']
['Корець', 'Рівненська']
['Корнин', 'Житомирська']
['Коробочкине', 'Харківська']
['Коробчине', 'Кіровоградська']
['Королеве', 'Закарпатська']
['Короп', 'Чернігівська']
['Коропець', 'Тернопільська']
['Корост', 'Рівненська']
['Коростень', 'Житомирська']
['Коростишів', 'Житомирська']
['Коротич', 'Харківська']
['Корсунь-Шевченківський', 'Черкаська']
['Кортелеси', 'Волинська']
['Корчин', 'Львівська']
['Коритне', 'Чернівецька']
['Корюківка', 'Чернігівська']
['Космач', 'Івано-Франківська']
['Косів', 'Івано-Франківська']
['Косівська Поляна', 'Закарпатська']
['Костичани', 'Чернівецька']
['Костопіль', 'Рівненська']
['Кострижівка', 'Чернівецька']
['Коськів', 'Хмельницька']
['Котелеве', 'Чернівецька']
['Котельва', 'Полтавська']
['Котівка', 'Дніпропетровська']
['Коцюбинське', 'Київська']
['Коцюбинці', 'Тернопільська']
['Кочеток', 'Харківська']
['Кошелеве', 'Закарпатська']
['Крайникове', 'Закарпатська']
['Краковець', 'Львівська']
['Краматорськ', 'Донецька']
['Красилів', 'Хмельницька']
['Красилівка', 'Київська']
['Красна Поляна', 'Донецька']
['Червона Талівка', 'Луганська']
['Красноармійськ', 'Донецька']
['Красноград', 'Харківська']
['Красне', 'Львівська']
['Красне', 'Херсонська']
['Красноїльськ', 'Чернівецька']
['Краснокутськ', 'Харківська']
['Краснопавлівка', 'Харківська']
['Краснопіль', 'Житомирська']
['Краснопілля', 'Сумська']
['Красноріченське', 'Луганська']
['Червоний Колядин', 'Чернігівська']
['Красний Лиман', 'Донецька']
['Красівське', 'Дніпропетровська']
['Красятичі', 'Київська']
['Кременець', 'Тернопільська']
['Кремінна', 'Луганська']
['Кремінна', 'Хмельницька']
['Кременчук', 'Полтавська']
['Хрестителеве', 'Черкаська']
['Хрестівка', 'Херсонська']
['Крива Руда', 'Полтавська']
['Криве Озеро', 'Миколаївська']
['Кривий Ріг', 'Дніпропетровська']
['Криві Коліна', 'Черкаська']
['Кринички', 'Дніпропетровська']
['Криничне', 'Одеська']
['Крихівці', 'Івано-Франківська']
['Кричеве', 'Закарпатська']
['Кричильськ', 'Рівненська']
['Кролевець', 'Сумська']
['Кропивницький', 'Кіровоградська']
['Круподеринці', 'Полтавська']
['Крутоярівка', 'Одеська']
['Крижанівка', 'Одеська']
['Крижопіль', 'Вінницька']
['Кримне', 'Волинська']
['Крюківщина', 'Київська']
['Кубей', 'Одеська']
['Кугаївці', 'Хмельницька']
['Куземін', 'Сумська']
['Кузьмин', 'Хмельницька']
['Кузьмина Гребля', 'Черкаська']
['Кулевча', 'Одеська']
['Куликів', 'Львівська']
['Куликівка', 'Чернігівська']
['Куп\'янськ', 'Харківська']
['Куп\'янськ-Вузловий', 'Харківська']
['Курахівка', 'Донецька']
['Курахове', 'Донецька']
['Курортне', 'Одеська']
['Кустолове-Суходолка', 'Полтавська']
['Кутище', 'Івано-Франківська']
['Кути', 'Івано-Франківська']
['Кухарі', 'Київська']
['Кухотська Воля', 'Рівненська']
['Кухче', 'Рівненська']
['Куцеволівка', 'Кіровоградська']
['Кучаків', 'Київська']
['Кучурган', 'Одеська']
['Кушниця', 'Закарпатська']
['Кушугум', 'Запорізька']
['Куянівка', 'Сумська']
['Ладан', 'Чернігівська']
['Ладижин', 'Вінницька']
['Лазещина', 'Закарпатська']
['Лазірки', 'Полтавська']
['Лазурне', 'Херсонська']
['Лази', 'Закарпатська']
['Ланна', 'Полтавська']
['Ланівці', 'Тернопільська']
['Ланчин', 'Івано-Франківська']
['Лапаївка', 'Львівська']
['Ларжанка', 'Одеська']
['Ласківці', 'Тернопільська']
['Латівка (Котівка)', 'Одеська']
['Лебедин', 'Сумська']
['Лебедин', 'Черкаська']
['Лебедине', 'Харківська']
['Левків', 'Житомирська']
['Лемешівка', 'Вінницька']
['Ленківці', 'Хмельницька']
['Лепетиха', 'Миколаївська']
['Лепляве', 'Черкаська']
['Лісівники', 'Хмельницька']
['Леськи', 'Черкаська']
['Летичів', 'Хмельницька']
['Лешнів', 'Львівська']
['Ліщинівка', 'Черкаська']
['Лигівка', 'Харківська']
['Лиман', 'Одеська']
['Лиман', 'Харківська']
['Лиманка', 'Одеська']
['Лиманське', 'Одеська']
['Линовиця', 'Чернігівська']
['Липецька Поляна', 'Закарпатська']
['Липини', 'Волинська']
['Липно', 'Житомирська']
['Липняжка', 'Кіровоградська']
['Липова Долина', 'Сумська']
['Липовець', 'Вінницька']
['Липці', 'Харківська']
['Липча', 'Закарпатська']
['Лип\'янка', 'Полтавська']
['Лисець', 'Івано-Франківська']
['Лисичанськ', 'Луганська']
['Литвинівка', 'Київська']
['Літин', 'Вінницька']
['Лихівка', 'Дніпропетровська']
['Лозно-Олександрівка', 'Луганська']
['Лозувата', 'Кіровоградська']
['Лозуватка', 'Дніпропетровська']
['Лозова', 'Харківська']
['Лозове', 'Хмельницька']
['Локачі', 'Волинська']
['Ломачинці', 'Чернівецька']
['Лопатин', 'Львівська']
['Лопухів', 'Закарпатська']
['Лосинівка', 'Чернігівська']
['Лосятин', 'Київська']
['Лохвиця', 'Полтавська']
['Лоцкине', 'Миколаївська']
['Лубни', 'Полтавська']
['Луб\'янка', 'Дніпропетровська']
['Луб\'янка', 'Київська']
['Лугини', 'Житомирська']
['Лужани', 'Чернівецька']
['Лука', 'Київська']
['Лука', 'Полтавська']
['Лукавці', 'Чернівецька']
['Лукаші', 'Київська']
['Луків', 'Волинська']
['Лутовинівка', 'Полтавська']
['Луцьк', 'Волинська']
['Львів', 'Львівська']
['Лисівка', 'Полтавська']
['Лисянка', 'Черкаська']
['Личанка', 'Київська']
['Личкове', 'Дніпропетровська']
['Лище', 'Волинська']
['Любар', 'Житомирська']
['Любарці', 'Київська']
['Любашівка', 'Одеська']
['Любеч', 'Чернігівська']
['Любешів', 'Волинська']
['Любиковичі', 'Рівненська']
['Любимівка', 'Херсонська']
['Люблинець', 'Волинська']
['Любомль', 'Волинська']
['Люботин', 'Харківська']
['Любохини', 'Волинська']
['Лютіж', 'Київська']
['Лящівка', 'Черкаська']
['Магдалинівка', 'Дніпропетровська']
['Майданецьке', 'Черкаська']
['Майське', 'Дніпропетровська']
['Макарів', 'Київська']
['Маків', 'Хмельницька']
['Макошино', 'Чернігівська']
['Максимільянівка', 'Донецька']
['Максимівка', 'Полтавська']
['Малашівці', 'Тернопільська']
['Мала Виска', 'Кіровоградська']
['Мала Глумча', 'Житомирська']
['Мала Данилівка', 'Харківська']
['Мала Дівиця', 'Чернігівська']
['Мала Добронь', 'Закарпатська']
['Мала Зубовщина', 'Житомирська']
['Мала Михайлівка (Білорецьке)', 'Запорізька']
['Мала Павлівка', 'Сумська']
['Мала Перещепина', 'Полтавська']
['Маліївка', 'Миколаївська']
['Малин', 'Житомирська']
['Малинівка', 'Харківська']
['Маломихайлівка', 'Дніпропетровська']
['Малий Березний', 'Закарпатська']
['Мамаївці', 'Чернівецька']
['Мамалига', 'Чернівецька']
['Мангуш', 'Донецька']
['Маневичі', 'Волинська']
['Манжелія', 'Полтавська']
['Манжосівка', 'Чернігівська']
['Маньківка', 'Вінницька']
['Маньківка', 'Черкаська']
['Маразліївка', 'Одеська']
['Марганець', 'Дніпропетровська']
['Маріуполь', 'Донецька']
['Марківка', 'Луганська']
['Мартинівка (Халтурине)', 'Полтавська']
['Мартинівське', 'Миколаївська']
['Мар\'янівка', 'Волинська']
['Мар\'янівка', 'Житомирська']
['Мар\'янівка', 'Київська']
['Мар\'янівка', 'Кіровоградська']
['Матвіївка', 'Запорізька']
['Матусів', 'Черкаська']
['Махнівка', 'Вінницька']
['Мачухи (Мачухи)', 'Полтавська']
['Машівка', 'Полтавська']
['Маяки', 'Одеська']
['Медведівка', 'Черкаська']
['Медвін', 'Київська']
['Меденичі', 'Львівська']
['Міжгір\'я', 'Закарпатська']
['Межова', 'Дніпропетровська']
['Межиріч', 'Дніпропетровська']
['Межиріч', 'Черкаська']
['Мезенівка', 'Сумська']
['Мелени', 'Житомирська']
['Мелехи', 'Полтавська']
['Меліоративне', 'Дніпропетровська']
['Мелітополь', 'Запорізька']
['Меловатка', 'Луганська']
['Мілове', 'Луганська']
['Мельники', 'Черкаська']
['Мельниця-Подільська', 'Тернопільська']
['Мена', 'Чернігівська']
['Менчикури', 'Запорізька']
['Мерефа', 'Харківська']
['Мішково-Погорілове', 'Миколаївська']
['Мигове', 'Чернівецька']
['Мізоч', 'Рівненська']
['Мізяківські Хутори', 'Вінницька']
['Микулинці', 'Тернопільська']
['Микуличи', 'Київська']
['Микуличин', 'Івано-Франківська']
['Мила', 'Київська']
['Милорадове', 'Полтавська']
['Миляч', 'Рівненська']
['Минай', 'Закарпатська']
['Миньківці', 'Хмельницька']
['Миргород', 'Полтавська']
['Мирноград', 'Донецька']
['Мирне', 'Запорізька']
['Мирне', 'Київська']
['Мирне', 'Луганська']
['Мирне', 'Одеська']
['Мирне', 'Херсонська']
['Мирне', 'Дніпропетровська']
['Мирогоща Перша', 'Рівненська']
['Миронівка', 'Київська']
['Миропіль', 'Житомирська']
['Миропілля', 'Сумська']
['Михайлівка', 'Дніпропетровська']
['Михайлівка', 'Запорізька']
['Михайлівка', 'Миколаївська']
['Михайлівка', 'Херсонська']
['Михайлівка', 'Хмельницька']
['Михайлівка', 'Черкаська']
['Михайлівка-Рубежівка', 'Київська']
['Михайло-Коцюбинське', 'Чернігівська']
['Михайло-Лукашово', 'Запорізька']
['Михайлючка', 'Хмельницька']
['Михнов', 'Хмельницька']
['Мицівці', 'Хмельницька']
['Мліїв', 'Черкаська']
['Млинів', 'Рівненська']
['Млинок', 'Кіровоградська']
['Могильов', 'Дніпропетровська']
['Могилів-Подільський', 'Вінницька']
['Молодіжне', 'Кіровоградська']
['Молодецьке', 'Черкаська']
['Молодія', 'Чернівецька']
['Молочанськ', 'Запорізька']
['Монастириська', 'Тернопільська']
['Монастирище', 'Черкаська']
['Моринці', 'Черкаська']
['Моршин', 'Львівська']
['Мостиська', 'Львівська']
['Мостки', 'Луганська']
['Мостове', 'Миколаївська']
['Мошни', 'Черкаська']
['Музичі', 'Київська']
['Мукачево', 'Закарпатська']
['Мурафа', 'Харківська']
['Мурахівка', 'Миколаївська']
['Муровані Курилівці', 'Вінницька']
['М\'якоти', 'Хмельницька']
['Набутів', 'Черкаська']
['Нагачів', 'Львівська']
['Нагірне', 'Одеська']
['Нагорянка', 'Тернопільська']
['Нагуєвичі', 'Львівська']
['Надбузьке', 'Миколаївська']
['Надвірна', 'Івано-Франківська']
['Надія', 'Одеська']
['Надлак', 'Кіровоградська']
['Наркевичі', 'Хмельницька']
['Народичі', 'Житомирська']
['Настасів', 'Тернопільська']
['Насташка', 'Київська']
['Небилів', 'Івано-Франківська']
['Недогарки', 'Полтавська']
['Недригайлів', 'Сумська']
['Ніжин', 'Чернігівська']
['Немішаєве', 'Київська']
['Немирів', 'Вінницька']
['Немирів', 'Львівська']
['Неполоківці', 'Чернівецька']
['Нересниця', 'Закарпатська']
['Нерубайка', 'Кіровоградська']
['Нерубайське', 'Одеська']
['Нерушай', 'Одеська']
['Несвоя', 'Чернівецька']
['Нетішин', 'Хмельницька']
['Нехвороща', 'Полтавська']
['Нещеретове', 'Луганська']
['Нива Трудова', 'Дніпропетровська']
['Нижанковичі', 'Львівська']
['Нижнів', 'Івано-Франківська']
['Нижнє Селище', 'Закарпатська']
['Нижні Сірогози', 'Херсонська']
['Нижня Апша', 'Закарпатська']
['Нижня Сироватка', 'Сумська']
['Низи', 'Сумська']
['Миколаїв', 'Львівська']
['Миколаїв', 'Миколаївська']
['Миколаївка', 'Дніпропетровська']
['Миколаївка', 'Житомирська']
['Миколаївка', 'Одеська']
['Миколаївка', 'Сумська']
['Микола-Поле', 'Запорізька']
['Миколо-Комишувата', 'Харківська']
['Микільське', 'Донецька']
['Микільське', 'Херсонська']
['Микільське (Володарське)', 'Донецька']
['Нікополь', 'Дніпропетровська']
['Нова Олександрівка', 'Київська']
['Нова Астрахань', 'Луганська']
['Нова Борова', 'Житомирська']
['Нова Водолага', 'Харківська']
['Нова Дмитрівка', 'Черкаська']
['Нова Долина', 'Одеська']
['Нова Збур\'ївка', 'Херсонська']
['Нова Каховка', 'Херсонська']
['Нова Маячка', 'Херсонська']
['Нова Одеса', 'Миколаївська']
['Нова Прага', 'Кіровоградська']
['Нова Синявка', 'Хмельницька']
['Нова Слобода', 'Сумська']
['Нова Ушиця', 'Хмельницька']
['Нова Чортория', 'Житомирська']
['Новгородка', 'Кіровоградська']
['Новгород-Сіверський', 'Чернігівська']
['Новгородське', 'Донецька']
['Новоайдар', 'Луганська']
['Новоолександрівка', 'Дніпропетровська']
['Новоолександрівка', 'Херсонська']
['Новоолексіївка', 'Херсонська']
['Новоархангельськ', 'Кіровоградська']
['Новобогданівка', 'Запорізька']
['Нововасилівка', 'Запорізька']
['Нововолинськ', 'Волинська']
['Нововоронцовка', 'Херсонська']
['Новов\'язівське', 'Дніпропетровська']
['Новоград-Волинський', 'Житомирська']
['Новогродівка', 'Донецька']
['Новогуйвинське', 'Житомирська']
['Новодніпрівка', 'Запорізька']
['Новодністровськ', 'Чернівецька']
['Новодонецьке', 'Донецька']
['Новодружеськ', 'Луганська']
['Нове', 'Кіровоградська']
['Нове Давидково', 'Закарпатська']
['Нове Місто', 'Черкаська']
['Нове Село', 'Закарпатська']
['Нове Село', 'Тернопільська']
['Новоівницьке', 'Житомирська']
['Новокиївка', 'Херсонська']
['Новокостянтинівка', 'Запорізька']
['Новолабунь', 'Хмельницька']
['Новолимарівка', 'Луганська']
['Новомайське', 'Дніпропетровська']
['Новомиргород', 'Кіровоградська']
['Новомосковськ', 'Дніпропетровська']
['Новомиколаївка', 'Дніпропетровська']
['Новомиколаївка', 'Запорізька']
['Новомиколаївка', 'Херсонська']
['Новоолександрівка', 'Луганська']
['Новоорехівка', 'Полтавська']
['Новооржицьке', 'Полтавська']
['Новопавлівка', 'Дніпропетровська']
['Новопавлівка', 'Миколаївська']
['Новопавлівка (Партизани)', 'Запорізька']
['Новопетрівка', 'Дніпропетровська']
['Новопокровка', 'Дніпропетровська']
['Новопокровка', 'Харківська']
['Новопсков', 'Луганська']
['Новоселиця', 'Закарпатська']
['Новоселиця', 'Хмельницька']
['Новоселиця', 'Чернівецька']
['Новосілки', 'Київська']
['Новоселівка', 'Харківська']
['Новоселівка', 'Чернігівська']
['Новосільське', 'Одеська']
['Новософіївка', 'Херсонська']
['Новоставці', 'Хмельницька']
['Новострільцівка', 'Луганська']
['Новотроїцьке', 'Донецька']
['Новотроїцьке', 'Херсонська']
['Новоукраїнка', 'Донецька']
['Новоукраїнка', 'Запорізька']
['Новоукраїнка', 'Кіровоградська']
['Новофедорівка', 'Миколаївська']
['Новоекономічне', 'Донецька']
['Новояворівськ', 'Львівська']
['Нові Білокоровичі', 'Житомирська']
['Нові Веледники', 'Житомирська']
['Нові Петрівці', 'Київська']
['Нові Санжари', 'Полтавська']
['Нові Трояни', 'Одеська']
['Новий Білоус', 'Чернігівська']
['Новий Буг', 'Миколаївська']
['Новий Вітков', 'Львівська']
['Новий Розділ', 'Львівська']
['Новий Стародуб', 'Кіровоградська']
['Новий Шлях', 'Дніпропетровська']
['Новий Яричів', 'Львівська']
['Норинськ', 'Житомирська']
['Носівка', 'Чернігівська']
['Обертин', 'Івано-Франківська']
['Ободівка', 'Вінницька']
['Оболонь', 'Полтавська']
['Оброшино', 'Львівська']
['Обухів', 'Київська']
['Обуховичі', 'Київська']
['Обухівка (Кіровське) (Кіровсько', 'Дніпропетровська']
['Овідіополь', 'Одеська']
['Овруч', 'Житомирська']
['Одеса', 'Одеська']
['Оженин', 'Рівненська']
['Озерна', 'Київська']
['Озерна', 'Тернопільська']
['Озерне', 'Житомирська']
['Озерне', 'Одеська']
['Озеряни', 'Тернопільська']
['Озеряни', 'Чернігівська']
['Окнина', 'Кіровоградська']
['Вікно', 'Чернівецька']
['Вікна (Червоні Вікна)', 'Одеська']
['Олевськ', 'Житомирська']
['Олесько', 'Львівська']
['Олеша', 'Івано-Франківська']
['Олешник', 'Закарпатська']
['Олишівка', 'Чернігівська']
['Ольгинка', 'Донецька']
['Ольгопіль', 'Вінницька']
['Ольховатка', 'Харківська']
['Вільховець', 'Хмельницька']
['Вільховець', 'Черкаська']
['Вільхівка', 'Закарпатська']
['Вільхівка', 'Харківська']
['Вільхівці', 'Закарпатська']
['Вільшана', 'Черкаська']
['Вільшанка', 'Кіровоградська']
['Вільшанське', 'Миколаївська']
['Вільшани', 'Харківська']
['Олика', 'Волинська']
['Омельник', 'Полтавська']
['Онок', 'Закарпатська']
['Оноківці', 'Закарпатська']
['Онуфріївка', 'Кіровоградська']
['Опішня', 'Полтавська']
['Оратів', 'Вінницька']
['Орілька', 'Харківська']
['Оріпи', 'Житомирська']
['Оріхів', 'Запорізька']
['Оржів', 'Рівненська']
['Оржиця', 'Полтавська']
['Оринин', 'Хмельницька']
['Орлик', 'Полтавська']
['Орловець', 'Черкаська']
['Орлівка', 'Рівненська']
['Орлівка', 'Чернігівська']
['Орлянське', 'Запорізька']
['Оскол (Червоний Оскол)', 'Харківська']
['Осламов', 'Хмельницька']
['Осівці', 'Тернопільська']
['Осокорівка', 'Херсонська']
['Остап\'є', 'Полтавська']
['Остер', 'Чернігівська']
['Острог', 'Рівненська']
['Острожець', 'Рівненська']
['Відрадне', 'Запорізька']
['Відрадівка', 'Донецька']
['Відрадівка', 'Херсонська']
['Отинія', 'Івано-Франківська']
['Охримівка', 'Запорізька']
['Очаків', 'Миколаївська']
['Очеретине', 'Донецька']
['Павлівка', 'Вінницька']
['Павлівка', 'Волинська']
['Павлоград', 'Дніпропетровська']
['Павлиш', 'Кіровоградська']
['Паволоч', 'Житомирська']
['Паляниця', 'Івано-Франківська']
['Пантаївка', 'Кіровоградська']
['Панчеве', 'Кіровоградська']
['Панютине', 'Харківська']
['Парутине', 'Миколаївська']
['Пархомівка', 'Харківська']
['Пасічна', 'Хмельницька']
['Первомайськ', 'Миколаївська']
['Первомайський', 'Харківська']
['Первомайське', 'Дніпропетровська']
['Первомайське', 'Миколаївська']
['Переволока', 'Тернопільська']
['Перегінське', 'Івано-Франківська']
['Перегонівка', 'Кіровоградська']
['Перемишляни', 'Львівська']
['Пересадівка', 'Миколаївська']
['Пересічне (Пересічна)', 'Харківська']
['Перечин', 'Закарпатська']
['Перещепине', 'Дніпропетровська']
['Переяслав-Хмельницький', 'Київська']
['Перчуново', 'Кіровоградська']
['Першотравенськ', 'Дніпропетровська']
['Першотравенськ', 'Житомирська']
['Першотравневе', 'Житомирська']
['Першотравневе', 'Одеська']
['Першотравневий', 'Харківська']
['Піски', 'Луганська']
['Піски', 'Полтавська']
['Піски-Радьківські', 'Харківська']
['Пісківка', 'Київська']
['Пісочин', 'Харківська']
['Піщанка', 'Вінницька']
['Піщанка', 'Дніпропетровська']
['Піщане', 'Полтавська']
['Піщане', 'Черкаська']
['Піщаний Брід', 'Кіровоградська']
['Петриківка', 'Дніпропетровська']
['Петровірівка', 'Одеська']
['Петрівка', 'Одеська']
['Петрівка', 'Полтавська']
['Петрівка', 'Херсонська']
['Петрівка-Роменська', 'Полтавська']
['Петрове', 'Кіровоградська']
['Петродолинське', 'Одеська']
['Петро-Михайлівка', 'Запорізька']
['Петропавлівка', 'Дніпропетровська']
['Петропавлівка', 'Луганська']
['Петропавлівка', 'Одеська']
['Петропавлівська Борщагівка', 'Київська']
['Печанівка', 'Житомирська']
['Печеніги', 'Харківська']
['Печера', 'Вінницька']
['Південне', 'Харківська']
['Пийтерфолво', 'Закарпатська']
['Пилипець', 'Закарпатська']
['Пилиповичі', 'Житомирська']
['Пилява', 'Хмельницька']
['Пирново', 'Київська']
['Пирогівці', 'Хмельницька']
['Пирятин', 'Полтавська']
['Писарівка', 'Вінницька']
['Піща', 'Волинська']
['Піщов', 'Житомирська']
['Плахтіївка', 'Одеська']
['Плесецьке', 'Київська']
['Плетений Ташлик', 'Кіровоградська']
['Плиски', 'Чернігівська']
['Плисків', 'Вінницька']
['Родюче', 'Запорізька']
['Плотича', 'Тернопільська']
['Плужне', 'Хмельницька']
['Пнев', 'Івано-Франківська']
['Пневно', 'Волинська']
['Побережжя', 'Івано-Франківська']
['Побузьке', 'Кіровоградська']
['Поворськ', 'Волинська']
['Погребище', 'Вінницька']
['Погреби', 'Київська']
['Підбуж', 'Львівська']
['Підволочиськ', 'Тернопільська']
['Подвірне', 'Чернівецька']
['Підвисоке', 'Кіровоградська']
['Підгайці', 'Волинська']
['Підгайці', 'Тернопільська']
['Підгородна', 'Миколаївська']
['Підгородне', 'Дніпропетровська']
['Підкамінь', 'Львівська']
['Підлуби', 'Житомирська']
['Подольськ', 'Одеська']
['Подорожнє', 'Кіровоградська']
['Покотилівка', 'Харківська']
['Покотилове', 'Кіровоградська']
['Покров (Орджонікідзе)', 'Дніпропетровська']
['Покровськ', 'Донецька']
['Покровське', 'Дніпропетровська']
['Покровське', 'Луганська']
['Покровське', 'Полтавська']
['Пологи', 'Запорізька']
['Полонне', 'Хмельницька']
['Полтава', 'Полтавська']
['Поляна', 'Закарпатська']
['Полянка', 'Житомирська']
['Поляхове', 'Хмельницька']
['Поморяни', 'Львівська']
['Помічна', 'Кіровоградська']
['Понінка', 'Хмельницька']
['Понорниця', 'Чернігівська']
['Попасна', 'Луганська']
['Попасне', 'Дніпропетровська']
['Попільня', 'Житомирська']
['Попівка', 'Полтавська']
['Попівка', 'Черкаська']
['Посад-Покровське', 'Херсонська']
['Потелич', 'Львівська']
['Потіївка', 'Житомирська']
['Почаїв', 'Тернопільська']
['Почуйки', 'Житомирська']
['Преображенка', 'Дніпропетровська']
['Преображенка', 'Херсонська']
['Приазовське', 'Запорізька']
['Приборжавське', 'Закарпатська']
['Приветное', 'Волынская']
['Привілля', 'Луганська']
['Привільне', 'Дніпропетровська']
['Приколотне', 'Харківська']
['Прилісне', 'Волинська']
['Прилиманське', 'Одеська']
['Прилуки', 'Чернігівська']
['Прилуцьке', 'Волинська']
['Приморськ', 'Запорізька']
['Приморський Посад', 'Запорізька']
['Приморське', 'Одеська']
['Приморське (Більшовик)', 'Херсонська']
['Пришиб', 'Запорізька']
['Приютівка', 'Кіровоградська']
['Прокурава', 'Івано-Франківська']
['Проліски', 'Київська']
['Пронозівка', 'Полтавська']
['Просяна', 'Дніпропетровська']
['Прохорівка', 'Черкаська']
['Проців', 'Київська']
['Пулини', 'Житомирська']
['Пултівці', 'Вінницька']
['Пустомити', 'Львівська']
['Путивль', 'Сумська']
['Путила', 'Чернівецька']
['Пишненки', 'Полтавська']
['П\'ятигори', 'Київська']
['П\'ятихатки', 'Дніпропетровська']
['П\'ятка', 'Житомирська']
['Рава-Руська', 'Львівська']
['Раденськ', 'Херсонська']
['Радехів', 'Львівська']
['Радивилів', 'Рівненська']
['Радивонівка', 'Полтавська']
['Радівка', 'Вінницька']
['Радомишль', 'Житомирська']
['Радісне', 'Одеська']
['Радушне', 'Дніпропетровська']
['Роздільна', 'Одеська']
['Роздольне', 'Херсонська']
['Роздори', 'Дніпропетровська']
['Райгородок', 'Донецька']
['Рокита', 'Полтавська']
['Рокитне', 'Київська']
['Раків Ліс', 'Волинська']
['Ракошино', 'Закарпатська']
['Ралівка', 'Львівська']
['Розсошенці', 'Полтавська']
['Ратне', 'Волинська']
['Раухівка', 'Одеська']
['Рафалівка', 'Рівненська']
['Рахни-Лісові', 'Вінницька']
['Рахів', 'Закарпатська']
['Рацеве', 'Черкаська']
['Рашівка', 'Полтавська']
['Ременів', 'Львівська']
['Рені', 'Одеська']
['Ріпки', 'Чернігівська']
['Річки', 'Сумська']
['Решетилівка', 'Полтавська']
['Ржищів', 'Київська']
['Рівне', 'Рівненська']
['Рівне', 'Кіровоградська']
['Рівне', 'Херсонська']
['Рівнепіль', 'Донецька']
['Рогань', 'Харківська']
['Рогатин', 'Івано-Франківська']
['Рогачов', 'Житомирська']
['Рогозів', 'Київська']
['Родинське', 'Донецька']
['Рожище', 'Волинська']
['Рожни', 'Київська']
['Рожнятів', 'Івано-Франківська']
['Розбишівка', 'Полтавська']
['Розважів', 'Київська']
['Розквіт', 'Одеська']
['Розівка', 'Запорізька']
['Рокині', 'Волинська']
['Рокитне', 'Рівненська']
['Рокосово', 'Закарпатська']
['Романківці', 'Чернівецька']
['Романів', 'Житомирська']
['Романівка', 'Житомирська']
['Романове Село', 'Тернопільська']
['Ромни', 'Сумська']
['Ромодан', 'Полтавська']
['Росільна', 'Івано-Франківська']
['Росохач', 'Тернопільська']
['Розтоки', 'Чернівецька']
['Ротмістрівка', 'Черкаська']
['Рубанівка', 'Херсонська']
['Рубіжне', 'Луганська']
['Руденківка', 'Полтавська']
['Рудки', 'Львівська']
['Рудники', 'Львівська']
['Рудничне', 'Дніпропетровська']
['Рудно', 'Львівська']
['Ружин', 'Житомирська']
['Ружичанка', 'Хмельницька']
['Русанів', 'Київська']
['Руська Лозова', 'Харківська']
['Руська Поляна', 'Черкаська']
['Руська Іванівка', 'Одеська']
['Рибаківка', 'Миколаївська']
['Риб\'янцеве', 'Луганська']
['Рикове', 'Херсонська']
['Римарівка', 'Полтавська']
['Рихальське', 'Житомирська']
['Рихта', 'Хмельницька']
['Рясне', 'Сумська']
['Ряснопіль', 'Одеська']
['Рясське', 'Полтавська']
['Сабатинівка', 'Кіровоградська']
['Савинці', 'Харківська']
['Саврань', 'Одеська']
['Сагайдак', 'Полтавська']
['Сагунівка', 'Черкаська']
['Саджава', 'Івано-Франківська']
['Садове', 'Херсонська']
['Саксагань', 'Дніпропетровська']
['Саливонки', 'Київська']
['Салькове', 'Кіровоградська']
['Самари', 'Волинська']
['Самбір', 'Львівська']
['Самгородок', 'Вінницька']
['Самгородок', 'Київська']
['Самійлівка', 'Харківська']
['Самчики', 'Хмельницька']
['Санжійка', 'Одеська']
['Сарата', 'Одеська']
['Сарни', 'Рівненська']
['Сари', 'Полтавська']
['Сатанів', 'Хмельницька']
['Сатанівка', 'Черкаська']
['Сатиїв', 'Рівненська']
['Сахновщина', 'Харківська']
['Свалява', 'Закарпатська']
['Сваричів', 'Івано-Франківська']
['Сватове', 'Луганська']
['Свесса', 'Сумська']
['Світловодськ', 'Кіровоградська']
['Світлогірське', 'Полтавська']
['Свідовок', 'Черкаська']
['Світязь', 'Волинська']
['Святець', 'Хмельницька']
['Святилівка', 'Полтавська']
['Святовасилівка (Єлізарове)', 'Дніпропетровська']
['Святогірськ', 'Донецька']
['Святопетровське', 'Київська']
['Сєвєродонецьк', 'Луганська']
['Сіверськ', 'Донецька']
['Седнів', 'Чернігівська']
['Селидове', 'Донецька']
['Селище', 'Черкаська']
